sample	date	File Name	Genotype	Genotype List Used, >=98.0%	Genotype Sample Title List	Genotype Percent Match List	Genotype Mismatch List	Genotype Average Depth of Coverage List
SRR31959988	2025-05-09_10-45-09	SRR31959988.fa	D1.1	PB2:am24, NA:am4N1, NS:ea3, MP:ea3, PB1:ea3, NP:am13, PA:am4, HA:ea3	am24:24-030039-001:PB2, am4N1:24-030039-001:NA, ea3:22-013001-001:NS, ea3:22-013001-001:MP, ea3:22-013001-001:PB1, am13:24-030039-001:NP, am4:24-030039-001:PA, ea3:22-013001-001:HA	99.78%, 99.56%, 98.81%, 100.00%, 99.25%, 99.80%, 99.91%, 99.47%	5, 5, 10, 0, 17, 3, 2, 9	Ran on FASTA - No Coverage Report
SRR24843104	2025-05-09_10-46-40	SRR24843104.fa	A1	PB1:ea1, HA:ea1, NA:ea1, NP:ea1, PB2:ea1, MP:ea1, NS:ea1, PA:ea1	ea1:22-003707-003:PB1, ea1:22-003707-003:HA, ea1:22-003707-003:NA, ea1:22-003707-003:NP, ea1:22-003707-003:PB2, ea1:22-003707-003:MP, ea1:22-003707-003:NS, ea1:22-003707-003:PA	99.74%, 99.53%, 99.93%, 99.80%, 99.87%, 100.00%, 99.88%, 99.63%	6, 8, 1, 3, 1, 0, 1, 8	Ran on FASTA - No Coverage Report
SRR32868754	2025-05-09_10-48-00	SRR32868754.fa	D1.1	PA:am4, MP:ea3, HA:ea3, PB2:am24, NA:am4N1, NS:ea3, PB1:ea3, NP:am13	am4:24-030039-001:PA, ea3:22-013001-001:MP, ea3:22-013001-001:HA, am24:24-030039-001:PB2, am4N1:24-030039-001:NA, ea3:22-013001-001:NS, ea3:22-013001-001:PB1, am13:24-030039-001:NP	99.49%, 99.80%, 99.35%, 99.78%, 98.76%, 99.05%, 99.34%, 99.73%	11, 2, 11, 5, 14, 8, 15, 4	Ran on FASTA - No Coverage Report
SRR32974089	2025-05-09_10-48-25	SRR32974089.fa	D1.1	PA:am4, NA:am4N1, MP:ea3, PB2:am24, NP:am13, NS:ea3, HA:ea3, PB1:ea3	am4:24-030039-001:PA, am4N1:24-030039-001:NA, ea3:22-013001-001:MP, am24:24-030039-001:PB2, am13:24-030039-001:NP, ea3:22-013001-001:NS, ea3:22-013001-001:HA, ea3:22-013001-001:PB1	99.72%, 99.47%, 99.80%, 99.69%, 99.67%, 98.93%, 99.59%, 99.38%	6, 6, 2, 7, 5, 9, 7, 14	Ran on FASTA - No Coverage Report
SRR24843101	2025-05-09_10-46-40	SRR24843101.fa	B3.2	PB2:am2.1, MP:ea1, NS:am1.1, PB1:am1.2, NA:ea1, NP:am1.4.1, HA:ea1, PA:ea1	am2.1:22-009329-001:PB2, ea1:22-003707-003:MP, am1.1:22-010085-001:NS, am1.2:22-010085-001:PB1, ea1:22-003707-003:NA, am1.4.1:22-009329-001:NP, ea1:22-003707-003:HA, ea1:22-003707-003:PA	99.69%, 99.90%, 99.64%, 99.60%, 99.86%, 99.87%, 99.88%, 99.86%	7, 1, 3, 9, 2, 2, 2, 3	Ran on FASTA - No Coverage Report
SRR31820737	2025-05-09_10-48-47	SRR31820737.fa	D1.1	NS:ea3, PB2:am24, PB1:ea3, HA:ea3, NP:am13, NA:am4N1, MP:ea3, PA:am4	ea3:22-013001-001:NS, am24:24-030039-001:PB2, ea3:22-013001-001:PB1, ea3:22-013001-001:HA, am13:24-030039-001:NP, am4N1:24-030039-001:NA, ea3:22-013001-001:MP, am4:24-030039-001:PA	99.17%, 99.87%, 99.34%, 99.47%, 99.73%, 99.62%, 99.80%, 99.81%	7, 3, 15, 9, 4, 4, 2, 4	Ran on FASTA - No Coverage Report
SRR32416422	2025-05-09_10-46-04	SRR32416422.fa	A3	NS:ea3, NP:ea3, HA:ea3, MP:ea3, PB1:ea3, PB2:ea3, NA:ea3, PA:ea3	ea3:22-013001-001:NS, ea3:22-013001-001:NP, ea3:22-013001-001:HA, ea3:22-013001-001:MP, ea3:22-013001-001:PB1, ea3:22-013001-001:PB2, ea3:22-013001-001:NA, ea3:22-013001-001:PA	99.64%, 99.27%, 99.41%, 99.49%, 99.56%, 99.74%, 98.86%, 99.40%	3, 11, 10, 5, 8, 2, 16, 13	Ran on FASTA - No Coverage Report
SRR31605348	2025-05-09_10-50-21	SRR31605348.fa	B3.13	NP:am8, NS:am1.1, PB2:am2.2, MP:ea1, NA:ea1, PA:ea1, PB1:am4, HA:ea1	am8:23-032005-001:NP, am1.1:22-010085-001:NS, am2.2:22-010445-001:PB2, ea1:22-003707-003:MP, ea1:22-003707-003:NA, ea1:22-003707-003:PA, am4:23-001855-001:PB1, ea1:22-003707-003:HA	99.00%, 99.17%, 98.68%, 98.98%, 98.94%, 98.88%, 99.47%, 98.30%	15, 7, 30, 10, 15, 24, 12, 29	Ran on FASTA - No Coverage Report
SRR32254514	2025-05-09_10-51-35	SRR32254514.fa	D1.1	HA:ea3, NS:ea3, PB1:ea3, MP:ea3, NP:am13, PA:am4, NA:am4N1, PB2:am24	ea3:22-013001-001:HA, ea3:22-013001-001:NS, ea3:22-013001-001:PB1, ea3:22-013001-001:MP, am13:24-030039-001:NP, am4:24-030039-001:PA, am4N1:24-030039-001:NA, am24:24-030039-001:PB2	99.47%, 99.17%, 99.38%, 100.00%, 99.80%, 99.86%, 99.14%, 99.78%	9, 7, 14, 0, 3, 3, 9, 5	Ran on FASTA - No Coverage Report
SRR30332707	2025-05-09_10-49-00	SRR30332707.fa	B3.13	PB1:am4, NS:am1.1, NA:ea1, HA:ea1, PB2:am2.2, PA:ea1, MP:ea1, NP:am8	am4:23-001855-001:PB1, am1.1:22-010085-001:NS, ea1:22-003707-003:NA, ea1:22-003707-003:HA, am2.2:22-010445-001:PB2, ea1:22-003707-003:PA, ea1:22-003707-003:MP, am8:23-032005-001:NP	99.38%, 99.17%, 98.94%, 98.77%, 98.73%, 98.98%, 98.47%, 99.40%	14, 7, 15, 21, 29, 22, 15, 9	Ran on FASTA - No Coverage Report
SRR29543306	2025-05-09_10-48-04	SRR29543306.fa	B3.13	NA:ea1, HA:ea1, PB2:am2.2, PB1:am4, PA:ea1, MP:ea1, NP:am8, NS:am1.1	ea1:22-003707-003:NA, ea1:22-003707-003:HA, am2.2:22-010445-001:PB2, am4:23-001855-001:PB1, ea1:22-003707-003:PA, ea1:22-003707-003:MP, am8:23-032005-001:NP, am1.1:22-010085-001:NS	99.08%, 98.77%, 98.82%, 99.47%, 99.16%, 98.78%, 99.27%, 99.05%	13, 21, 27, 12, 18, 12, 11, 8	Ran on FASTA - No Coverage Report
SRR24842945	2025-05-09_10-46-27	SRR24842945.fa	B2.1	PB2:am1.2, HA:ea1, NS:ea1, NP:am1.1, PA:ea1, NA:ea1, PB1:ea1, MP:ea1	am1.2:22-007805-001:PB2, ea1:22-003707-003:HA, ea1:22-003707-003:NS, am1.1:22-007805-001:NP, ea1:22-003707-003:PA, ea1:22-003707-003:NA, ea1:22-003707-003:PB1, ea1:22-003707-003:MP	99.96%, 99.94%, 99.76%, 99.93%, 99.81%, 99.86%, 99.74%, 100.00%	1, 1, 2, 1, 4, 2, 6, 0	Ran on FASTA - No Coverage Report
SRR31821148	2025-05-09_10-46-24	SRR31821148.fa	B3.13	NA:ea1, HA:ea1, PB2:am2.2, PB1:am4, PA:ea1, NS:am1.1, NP:am8, MP:ea1	ea1:22-003707-003:NA, ea1:22-003707-003:HA, am2.2:22-010445-001:PB2, am4:23-001855-001:PB1, ea1:22-003707-003:PA, am1.1:22-010085-001:NS, am8:23-032005-001:NP, ea1:22-003707-003:MP	98.94%, 98.36%, 98.68%, 99.34%, 98.88%, 99.17%, 99.00%, 98.88%	15, 28, 30, 15, 24, 7, 15, 11	Ran on FASTA - No Coverage Report
SRR31820846	2025-05-09_10-50-28	SRR31820846.fa	B3.13	HA:ea1, PA:ea1, PB2:am2.2, MP:ea1, NP:am8, NS:am1.1, PB1:am4, NA:ea1	ea1:22-003707-003:HA, ea1:22-003707-003:PA, am2.2:22-010445-001:PB2, ea1:22-003707-003:MP, am8:23-032005-001:NP, am1.1:22-010085-001:NS, am4:23-001855-001:PB1, ea1:22-003707-003:NA	98.36%, 98.79%, 98.51%, 98.88%, 98.93%, 99.05%, 99.43%, 98.94%	28, 26, 34, 11, 16, 8, 13, 15	Ran on FASTA - No Coverage Report
SRR31820936	2025-05-09_10-50-07	SRR31820936.fa	B3.13	NS:am1.1, PB1:am4, PB2:am2.2, NA:ea1, NP:am8, HA:ea1, PA:ea1, MP:ea1	am1.1:22-010085-001:NS, am4:23-001855-001:PB1, am2.2:22-010445-001:PB2, ea1:22-003707-003:NA, am8:23-032005-001:NP, ea1:22-003707-003:HA, ea1:22-003707-003:PA, ea1:22-003707-003:MP	99.17%, 99.43%, 98.60%, 98.94%, 98.93%, 98.53%, 98.98%, 98.78%	7, 13, 32, 15, 16, 25, 22, 12	Ran on FASTA - No Coverage Report
SRR29694501	2025-05-09_10-48-14	SRR29694501.fa	B3.13	PB2:am2.2, HA:ea1, NA:ea1, PB1:am4, NS:am1.1, NP:am8, MP:ea1, PA:ea1	am2.2:22-010445-001:PB2, ea1:22-003707-003:HA, ea1:22-003707-003:NA, am4:23-001855-001:PB1, am1.1:22-010085-001:NS, am8:23-032005-001:NP, ea1:22-003707-003:MP, ea1:22-003707-003:PA	98.77%, 98.65%, 99.08%, 99.47%, 99.17%, 99.33%, 98.88%, 99.02%	28, 23, 13, 12, 7, 10, 11, 21	Ran on FASTA - No Coverage Report
SRR32513213	2025-05-09_10-48-08	SRR32513213.fa	Not assigned: Only 4 segments >98.0% match found of total 8 segments in input file	PB2:am2.2, PB1:am21, NS:am1.2, MP:am1	am2.2:22-010445-001:PB2, am21:24-032138-001:PB1, am1.2:22-010668-001:NS, am1:24-032138-001:MP, am8:23-032005-001:NP, am8:24-036222-001:PA	98.82%, 98.64%, 99.17%, 98.37%, 97.93%, 96.86%	27, 31, 7, 16, 31, 59	Ran on FASTA - No Coverage Report
SRR29377832	2025-05-09_10-47-52	SRR29377832.fa	B3.13	MP:ea1, PB1:am4, HA:ea1, PA:ea1, PB2:am2.2, NP:am8, NS:am1.1, NA:ea1	ea1:22-003707-003:MP, am4:23-001855-001:PB1, ea1:22-003707-003:HA, ea1:22-003707-003:PA, am2.2:22-010445-001:PB2, am8:23-032005-001:NP, am1.1:22-010085-001:NS, ea1:22-003707-003:NA	98.88%, 99.52%, 98.65%, 98.93%, 98.77%, 99.33%, 99.17%, 98.94%	11, 11, 23, 23, 28, 10, 7, 15	Ran on FASTA - No Coverage Report
SRR24839600	2025-05-09_10-46-04	SRR24839600.fa	A1	PB2:ea1, NA:ea1, NS:ea1, NP:ea1, MP:ea1, HA:ea1, PA:ea1, PB1:ea1	ea1:22-003707-003:PB2, ea1:22-003707-003:NA, ea1:22-003707-003:NS, ea1:22-003707-003:NP, ea1:22-003707-003:MP, ea1:22-003707-003:HA, ea1:22-003707-003:PA, ea1:22-003707-003:PB1	99.73%, 99.57%, 99.76%, 99.93%, 99.39%, 99.65%, 99.77%, 99.87%	4, 6, 2, 1, 6, 6, 5, 3	Ran on FASTA - No Coverage Report
SRR32499027	2025-05-09_10-50-35	SRR32499027.fa	Not assigned: Only 4 segments >98.0% match found of total 8 segments in input file	NP:am1.2, NS:am1.2, PB1:am9, PB2:am23	am1.2:22-009287-001:NP, am2:22-008760-007:PA, am1.2:22-010668-001:NS, am9:22-037654-001:PB1, am1:24-032138-001:MP, am23:24-010726-001:PB2	99.27%, 90.32%, 98.81%, 98.28%, 97.96%, 98.99%	11, 206, 10, 39, 20, 23	Ran on FASTA - No Coverage Report
SRR31914616	2025-05-09_10-50-58	SRR31914616.fa	B3.13	NP:am8, NS:am1.1, PA:ea1, HA:ea1, PB2:am2.2, PB1:am4, MP:ea1, NA:ea1	am8:23-032005-001:NP, am1.1:22-010085-001:NS, ea1:22-003707-003:PA, ea1:22-003707-003:HA, am2.2:22-010445-001:PB2, am4:23-001855-001:PB1, ea1:22-003707-003:MP, ea1:22-003707-003:NA	99.00%, 99.17%, 98.79%, 98.36%, 98.68%, 99.52%, 98.98%, 98.86%	15, 7, 26, 28, 30, 11, 10, 16	Ran on FASTA - No Coverage Report
SRR32512895	2025-05-09_10-51-59	SRR32512895.fa	D1.3	NS:ea3, NP:am13, PA:am4, NA:ea3, MP:ea3, PB2:am24, HA:ea3, PB1:ea3	ea3:22-013001-001:NS, am13:24-030039-001:NP, am4:24-030039-001:PA, ea3:22-013001-001:NA, ea3:22-013001-001:MP, am24:24-030039-001:PB2, ea3:22-013001-001:HA, ea3:22-013001-001:PB1	98.93%, 99.87%, 99.72%, 99.01%, 99.80%, 99.78%, 99.18%, 99.34%	9, 2, 6, 14, 2, 5, 14, 15	Ran on FASTA - No Coverage Report
SRR32654211	2025-05-09_10-52-16	SRR32654211.fa	D1.3	NP:am13, PA:am4, NA:ea3, NS:ea3, MP:ea3, PB2:am24, PB1:ea3, HA:ea3	am13:24-030039-001:NP, am4:24-030039-001:PA, ea3:22-013001-001:NA, ea3:22-013001-001:NS, ea3:22-013001-001:MP, am24:24-030039-001:PB2, ea3:22-013001-001:PB1, ea3:22-013001-001:HA	99.67%, 99.35%, 98.72%, 98.69%, 100.00%, 99.61%, 99.30%, 99.35%	5, 14, 18, 11, 0, 9, 16, 11	Ran on FASTA - No Coverage Report
SRR31914407	2025-05-09_10-50-55	SRR31914407.fa	D1.1	HA:ea3, PB1:ea3, NA:am4N1, PB2:am24, MP:ea3, PA:am4, NS:ea3, NP:am13	ea3:22-013001-001:HA, ea3:22-013001-001:PB1, am4N1:24-030039-001:NA, am24:24-030039-001:PB2, ea3:22-013001-001:MP, am4:24-030039-001:PA, ea3:22-013001-001:NS, am13:24-030039-001:NP	99.59%, 99.33%, 99.33%, 99.69%, 100.00%, 99.86%, 98.93%, 99.93%	7, 12, 7, 7, 0, 3, 9, 1	Ran on FASTA - No Coverage Report
SRR31605150	2025-05-09_10-47-00	SRR31605150.fa	Not assigned: Only 7 segments >98.0% match found of total 8 segments in input file	PB2:am2.2, NA:ea1, PB1:am4, HA:ea1, NP:am8, NS:am1.1, MP:ea1	am2.2:22-010445-001:PB2, ea1:22-003707-003:NA, ea1:22-003707-003:PA, am4:23-001855-001:PB1, ea1:22-003707-003:HA, am8:23-032005-001:NP, am1.1:22-010085-001:NS, ea1:22-003707-003:MP	98.73%, 98.94%, 97.95%, 99.43%, 98.41%, 99.00%, 99.17%, 98.98%	29, 15, 44, 13, 27, 15, 7, 10	Ran on FASTA - No Coverage Report
SRR32254558	2025-05-09_10-51-15	SRR32254558.fa	D1.1	MP:ea3, NP:am13, PB1:ea3, HA:ea3, NS:ea3, PB2:am24, NA:am4N1, PA:am4	ea3:22-013001-001:MP, am13:24-030039-001:NP, ea3:22-013001-001:PB1, ea3:22-013001-001:HA, ea3:22-013001-001:NS, am24:24-030039-001:PB2, am4N1:24-030039-001:NA, am4:24-030039-001:PA	99.69%, 99.53%, 99.16%, 99.35%, 99.17%, 99.69%, 99.29%, 99.72%	3, 7, 19, 11, 7, 7, 8, 5	Ran on FASTA - No Coverage Report
SRR31347724	2025-05-09_10-49-00	SRR31347724.fa	B3.13	NP:am8, MP:ea1, PB2:am2.2, PB1:am4, NS:am1.1, PA:ea1, NA:ea1, HA:ea1	am8:23-032005-001:NP, ea1:22-003707-003:MP, am2.2:22-010445-001:PB2, am4:23-001855-001:PB1, am1.1:22-010085-001:NS, ea1:22-003707-003:PA, ea1:22-003707-003:NA, ea1:22-003707-003:HA	99.00%, 98.98%, 98.73%, 99.52%, 99.17%, 98.88%, 98.86%, 98.30%	15, 10, 29, 11, 7, 24, 16, 29	Ran on FASTA - No Coverage Report
SRR32254576	2025-05-09_10-51-36	SRR32254576.fa	D1.1	HA:ea3, NP:am13, NA:am4N1, MP:ea3, PB1:ea3, PA:am4, PB2:am24, NS:ea3	ea3:22-013001-001:HA, am13:24-030039-001:NP, am4N1:24-030039-001:NA, ea3:22-013001-001:MP, ea3:22-013001-001:PB1, am4:24-030039-001:PA, am24:24-030039-001:PB2, ea3:22-013001-001:NS	99.30%, 99.60%, 99.29%, 99.69%, 99.12%, 99.77%, 99.69%, 99.17%	12, 6, 8, 3, 20, 4, 7, 7	Ran on FASTA - No Coverage Report
SRR32974055	2025-05-09_10-46-01	SRR32974055.fa	D1.1	HA:ea3, NA:am4N1, PB1:ea3, PB2:am24, PA:am4, NS:ea3, MP:ea3, NP:am13	ea3:22-013001-001:HA, am4N1:24-030039-001:NA, ea3:22-013001-001:PB1, am24:24-030039-001:PB2, am4:24-030039-001:PA, ea3:22-013001-001:NS, ea3:22-013001-001:MP, am13:24-030039-001:NP	99.53%, 99.14%, 99.56%, 99.61%, 98.56%, 99.05%, 99.90%, 99.93%	8, 9, 8, 9, 31, 8, 1, 1	Ran on FASTA - No Coverage Report
SRR31062742	2025-05-09_10-49-24	SRR31062742.fa	B3.13	PB2:am2.2, NP:am8, PA:ea1, NS:am1.1, PB1:am4, NA:ea1, HA:ea1, MP:ea1	am2.2:22-010445-001:PB2, am8:23-032005-001:NP, ea1:22-003707-003:PA, am1.1:22-010085-001:NS, am4:23-001855-001:PB1, ea1:22-003707-003:NA, ea1:22-003707-003:HA, ea1:22-003707-003:MP	98.68%, 99.06%, 99.02%, 99.17%, 99.47%, 98.86%, 98.53%, 98.98%	30, 14, 21, 7, 12, 16, 25, 10	Ran on FASTA - No Coverage Report
SRR32416406	2025-05-09_10-51-29	SRR32416406.fa	D1.1	MP:ea3, PB2:am24, PA:am4, NA:am4N1, PB1:ea3, HA:ea3, NS:ea3, NP:am13	ea3:22-013001-001:MP, am24:24-030039-001:PB2, am4:24-030039-001:PA, am4N1:24-030039-001:NA, ea3:22-013001-001:PB1, ea3:22-013001-001:HA, ea3:22-013001-001:NS, am13:24-030039-001:NP	100.00%, 99.74%, 99.77%, 99.52%, 99.44%, 99.47%, 98.93%, 99.73%	0, 6, 5, 5, 10, 9, 9, 4	Ran on FASTA - No Coverage Report
SRR31960173	2025-05-09_10-46-24	SRR31960173.fa	B3.13	PA:ea1, HA:ea1, PB1:am4, MP:ea1, NP:am8, NA:ea1, PB2:am2.2, NS:am1.1	ea1:22-003707-003:PA, ea1:22-003707-003:HA, am4:23-001855-001:PB1, ea1:22-003707-003:MP, am8:23-032005-001:NP, ea1:22-003707-003:NA, am2.2:22-010445-001:PB2, am1.1:22-010085-001:NS	98.93%, 98.36%, 99.38%, 98.98%, 98.93%, 98.79%, 98.51%, 98.69%	23, 28, 14, 10, 16, 17, 34, 11	Ran on FASTA - No Coverage Report
SRR32868580	2025-05-09_10-48-01	SRR32868580.fa	D1.1	PB1:ea3, HA:ea3, PA:am4, NP:am13, MP:ea3, NA:am4N1, NS:ea3, PB2:am24	ea3:22-013001-001:PB1, ea3:22-013001-001:HA, am4:24-030039-001:PA, am13:24-030039-001:NP, ea3:22-013001-001:MP, am4N1:24-030039-001:NA, ea3:22-013001-001:NS, am24:24-030039-001:PB2	99.45%, 99.53%, 99.43%, 99.67%, 99.80%, 99.42%, 98.93%, 99.65%	10, 8, 10, 5, 2, 6, 9, 8	Ran on FASTA - No Coverage Report
SRR32654200	2025-05-09_10-48-27	SRR32654200.fa	D1.3	NP:am13, NS:ea3, HA:ea3, PB2:am24, PA:am4, NA:ea3, MP:ea3, PB1:ea3	am13:24-030039-001:NP, ea3:22-013001-001:NS, ea3:22-013001-001:HA, am24:24-030039-001:PB2, am4:24-030039-001:PA, ea3:22-013001-001:NA, ea3:22-013001-001:MP, ea3:22-013001-001:PB1	99.53%, 98.93%, 99.59%, 99.61%, 99.53%, 98.58%, 99.90%, 99.21%	7, 9, 7, 9, 10, 20, 1, 16	Ran on FASTA - No Coverage Report
SRR31914554	2025-05-09_10-50-55	SRR31914554.fa	B3.13	HA:ea1, NS:am1.1, MP:ea1, NP:am8, PB2:am2.2, NA:ea1, PB1:am4, PA:ea1	ea1:22-003707-003:HA, am1.1:22-010085-001:NS, ea1:22-003707-003:MP, am8:23-032005-001:NP, am2.2:22-010445-001:PB2, ea1:22-003707-003:NA, am4:23-001855-001:PB1, ea1:22-003707-003:PA	98.53%, 99.05%, 98.88%, 99.00%, 98.68%, 98.72%, 99.47%, 99.07%	25, 8, 11, 15, 30, 18, 12, 20	Ran on FASTA - No Coverage Report
SRR30202019	2025-05-09_10-46-40	SRR30202019.fa	B3.13	HA:ea1, PB1:am4, PB2:am2.2, MP:ea1, NP:am8, PA:ea1, NS:am1.1, NA:ea1	ea1:22-003707-003:HA, am4:23-001855-001:PB1, am2.2:22-010445-001:PB2, ea1:22-003707-003:MP, am8:23-032005-001:NP, ea1:22-003707-003:PA, am1.1:22-010085-001:NS, ea1:22-003707-003:NA	98.65%, 99.52%, 98.73%, 98.88%, 99.06%, 99.16%, 98.81%, 99.01%	23, 11, 29, 11, 14, 18, 10, 14	Ran on FASTA - No Coverage Report
SRR29377849	2025-05-09_10-47-52	SRR29377849.fa	B3.13	NS:am1.1, NA:ea1, NP:am8, HA:ea1, PB1:am4, PA:ea1, PB2:am2.2, MP:ea1	am1.1:22-010085-001:NS, ea1:22-003707-003:NA, am8:23-032005-001:NP, ea1:22-003707-003:HA, am4:23-001855-001:PB1, ea1:22-003707-003:PA, am2.2:22-010445-001:PB2, ea1:22-003707-003:MP	98.93%, 99.08%, 99.33%, 98.59%, 99.56%, 99.16%, 98.77%, 98.88%	9, 13, 10, 24, 10, 18, 28, 11	Ran on FASTA - No Coverage Report
SRR31959933	2025-05-09_10-51-00	SRR31959933.fa	D1.1	PA:am4, NP:am13, PB2:am24, MP:ea3, NA:am4N1, HA:ea3, PB1:ea3, NS:ea3	am4:24-030039-001:PA, am13:24-030039-001:NP, am24:24-030039-001:PB2, ea3:22-013001-001:MP, am4N1:24-030039-001:NA, ea3:22-013001-001:HA, ea3:22-013001-001:PB1, ea3:22-013001-001:NS	99.72%, 99.87%, 99.87%, 99.90%, 99.33%, 99.53%, 99.21%, 99.17%	6, 2, 3, 1, 7, 8, 18, 7	Ran on FASTA - No Coverage Report
SRR28752650	2025-05-09_10-45-50	SRR28752650.fa	B3.13	HA:ea1, NA:ea1, MP:ea1, PB2:am2.2, PA:ea1, PB1:am4, NP:am8, NS:am1.1	ea1:22-003707-003:HA, ea1:22-003707-003:NA, ea1:22-003707-003:MP, am2.2:22-010445-001:PB2, ea1:22-003707-003:PA, am4:23-001855-001:PB1, am8:23-032005-001:NP, am1.1:22-010085-001:NS	98.71%, 99.01%, 98.78%, 98.82%, 99.16%, 99.55%, 99.33%, 99.17%	22, 14, 12, 27, 18, 10, 10, 7	Ran on FASTA - No Coverage Report
SRR32654044	2025-05-09_10-50-43	SRR32654044.fa	D1.1	HA:ea3, PA:am4, NA:am4N1, PB2:am24, NS:ea3, NP:am13, PB1:ea3, MP:ea3	ea3:22-013001-001:HA, am4:24-030039-001:PA, am4N1:24-030039-001:NA, am24:24-030039-001:PB2, ea3:22-013001-001:NS, am13:24-030039-001:NP, ea3:22-013001-001:PB1, ea3:22-013001-001:MP	99.53%, 99.63%, 99.42%, 99.83%, 98.93%, 99.80%, 99.33%, 100.00%	8, 8, 6, 4, 9, 3, 12, 0	Ran on FASTA - No Coverage Report
SRR29377913	2025-05-09_10-47-57	SRR29377913.fa	B3.13	MP:ea1, NA:ea1, NS:am1.1, HA:ea1, PB2:am2.2, NP:am8, PB1:am4, PA:ea1	ea1:22-003707-003:MP, ea1:22-003707-003:NA, am1.1:22-010085-001:NS, ea1:22-003707-003:HA, am2.2:22-010445-001:PB2, am8:23-032005-001:NP, am4:23-001855-001:PB1, ea1:22-003707-003:PA	98.88%, 99.01%, 99.28%, 98.65%, 98.73%, 99.13%, 99.56%, 99.21%	11, 14, 6, 23, 29, 13, 10, 17	Ran on FASTA - No Coverage Report
SRR32973805	2025-05-09_10-51-32	SRR32973805.fa	D1.1	PB1:ea3, NP:am13, PA:am4, MP:ea3, NS:ea3, PB2:am24, NA:am4N1, HA:ea3	ea3:22-013001-001:PB1, am13:24-030039-001:NP, am4:24-030039-001:PA, ea3:22-013001-001:MP, ea3:22-013001-001:NS, am24:24-030039-001:PB2, am4N1:24-030039-001:NA, ea3:22-013001-001:HA	99.21%, 99.33%, 99.72%, 99.59%, 99.05%, 99.56%, 99.11%, 99.30%	18, 10, 6, 4, 8, 10, 10, 12	Ran on FASTA - No Coverage Report
SRR24839319	2025-05-09_10-45-06	SRR24839319.fa	A1	MP:ea1, PB2:ea1, NA:ea1, PB1:ea1, PA:ea1, NP:ea1, NS:ea1, HA:ea1	ea1:22-003707-003:MP, ea1:22-003707-003:PB2, ea1:22-003707-003:NA, ea1:22-003707-003:PB1, ea1:22-003707-003:PA, ea1:22-003707-003:NP, ea1:22-003707-003:NS, ea1:22-003707-003:HA	99.80%, 99.87%, 99.93%, 99.96%, 99.95%, 99.93%, 99.88%, 99.82%	2, 1, 1, 1, 1, 1, 1, 3	Ran on FASTA - No Coverage Report
SRR24843281	2025-05-09_10-46-54	SRR24843281.fa	B3.1	PA:ea1, PB1:ea1, HA:ea1, PB2:am2.1, NS:ea1, MP:ea1, NA:ea1, NP:am1.4.1	ea1:22-003707-003:PA, ea1:22-003707-003:PB1, ea1:22-003707-003:HA, am2.1:22-009329-001:PB2, ea1:22-003707-003:NS, ea1:22-003707-003:MP, ea1:22-003707-003:NA, am1.4.1:22-009329-001:NP	99.95%, 99.96%, 99.88%, 99.91%, 99.88%, 99.80%, 99.93%, 100.00%	1, 1, 2, 2, 1, 2, 1, 0	Ran on FASTA - No Coverage Report
SRR24839078	2025-05-09_10-45-06	SRR24839078.fa	A1	MP:ea1, NP:ea1, PB1:ea1, PA:ea1, NS:ea1, HA:ea1, NA:ea1, PB2:ea1	ea1:22-003707-003:MP, ea1:22-003707-003:NP, ea1:22-003707-003:PB1, ea1:22-003707-003:PA, ea1:22-003707-003:NS, ea1:22-003707-003:HA, ea1:22-003707-003:NA, ea1:22-003707-003:PB2	99.69%, 99.87%, 99.78%, 98.79%, 99.88%, 99.53%, 99.79%, 99.74%	3, 2, 5, 26, 1, 8, 3, 2	Ran on FASTA - No Coverage Report
SRR24839155	2025-05-09_10-45-34	SRR24839155.fa	B2.1	NP:am1.1, NA:ea1, PB2:am1.2, HA:ea1, NS:ea1, PB1:ea1, MP:ea1, PA:ea1	am1.1:22-007805-001:NP, ea1:22-003707-003:NA, am1.2:22-007805-001:PB2, ea1:22-003707-003:HA, ea1:22-003707-003:NS, ea1:22-003707-003:PB1, ea1:22-003707-003:MP, ea1:22-003707-003:PA	99.87%, 99.79%, 99.87%, 99.88%, 99.88%, 99.87%, 100.00%, 99.91%	2, 3, 3, 2, 1, 3, 0, 2	Ran on FASTA - No Coverage Report
SRR32415148	2025-05-09_10-48-25	SRR32415148.fa	D1.1	NS:ea3, NP:am13, PA:am4, MP:ea3, HA:ea3, PB1:ea3, PB2:am24, NA:am4N1	ea3:22-013001-001:NS, am13:24-030039-001:NP, am4:24-030039-001:PA, ea3:22-013001-001:MP, ea3:22-013001-001:HA, ea3:22-013001-001:PB1, am24:24-030039-001:PB2, am4N1:24-030039-001:NA	99.17%, 99.47%, 99.58%, 99.80%, 99.30%, 99.30%, 99.69%, 99.28%	7, 8, 9, 2, 12, 16, 7, 8	Ran on FASTA - No Coverage Report
